selected_review,genre
anthony dares progress by archibald marshall 7s 6d collins we are never quite sure how much mr marshal himself cares about tony dare he writes about him so evenly so placidly so kindly that it is easy to imagine he approves of him if we are not very much mistaken however mr marshal is giving us a very quiet and subtly touched portrait of a weak and selfish though winning personality anthony is doing journalism very successfully in london when this part of his history begins he is mixing by happy chance with people socially much above him and opportunity is afforded him to fall in love with lady penelope st leger the girls sweet tender and changeable character is very cleverly suggested for she does not talk very much  indeed there is surprisingly little conversation in the novel this makes it a real achievement for after all it is to dialogue that the reader generally trusts for entertainment mr lmarshalls way of telling a tale is perfectly delightflll never dull and how full of acute touches their intercourse was habitually flavoured with joking speech and they knewv when to let each other alone it is doubtful whether there would have been enough between them to support a long visit without constraint again after a weekend in a country house full of gay guests when tony stays on young children now seemed to pervade the house rue elder children came down to luncheon and the talk of the elders was quite different from what it had been tonys marriage to the rich widow lady amarch of humble origin leaves us longing for mr marshalls next volume,war_contra
t1he escape of mr trimm bv irvin s cobb 6s hodder  stoughton in the nine stories contained in this volume mr cobb sil ws himself proficient in handling both humour and tr gedy the best of the humorous stories have one central character amajor putnam stone the gallant soldier who in the decline of his fortune found himself installed in a newspaper office of all places in the world the situation is obviously full of comic possibilities and they have not eluded mlr cobb the major took no interest in politics after the date of the civil war of i865 so it is hardly to be wondered at if in the capacity of reporter hl brought little grist to the evening press when a p litical secrcl did chance to come his way it was only b accident that his colleagues extorted it from him  it was a footrace back to the office and devore who had the start won by a short length    working like the crew of a sinking ship we snatched the first page back from off the steam table and prized it open and gouged a double handful of hot slugs out of the last columndevore blistered his fingers doing it    so we missed only one mail commissioned to report a marriage the major started by quoting eight lines from the lady of the lake followed this by an essay on the antiquity of matrimony omitted the ministers name and gave the bridegrooms middle initial wrong the story that gives its name to the book is haunting in its grimness the idea is a striking one and not to be called farfetched trimm the condemned linancier escapes on his way to prison owing to a railway snash and the story describes w ith wlonderful imagination his desperate and unavailing efforts to free himself from his handcuffs it is in one of the shortest stories in the xolume that mr cobb is seen to most advantage and where also we may most easily detect his literary forebears  for in an  occurrence up a side street  it is not too much to say that the grimness is worthy of poe while the art is suggestive of maupassant,war_contra
fiction the last ditch by violet hunt stanley paul and co 7s net violet hunt in a frankly critical mood is always good and in this novel she has a theme after the cynics own heartdecadence the last ditch  is of course the aristocracy fighting for self preservation very splendid in war very deflated after war and particularly socially which is the side of the authors examination she knows her world in a sense she sympathises nor is there any attempt to indulge in an extravaganza types are the authors interest they are types we could almost name they are lovable peple however selfish cynical inhuman they think anyone not born in the set smells and this class obsession becomes acutely ridiculous when one of the leading daughters takes up with a socialist and actually becomes engaged to him the end is the justification of type the socialist kisses violently and the daughter rebels the man of type saves her and we have them admirably correct in their conjugal demeanour in a small home somewhere on the golf links all this is very amusing poignantly observant pleasingly cruel nor can it be called satire society is satire and violet hunt has made the most of it,war_contra
1lovel flotes the house of war by marmaduke pickthall 6s tx 4au the house of war mr pickthall tells us  was the designation given formerly to all those christians of the countries conquered by the muslims who declined to embrace el islam    but the christians of the turkish empire have now for several generations become a house of war in a much wider sense a development to which the european missionaries who come and go have often inadvertently contributed the authors prefatory note well indicates the theme of  the house of war a novel in which mir pickthall is inclined to allow his purpose to take precedence over his plot most emphatically he does not approve of christian missions in mahomedan countries and so for the purposes of his story he has invented a heroine who is coldblooded and almost incredibly pigheaded indeed one finds it difficult to believe that so broadminded a man as fenn would have found anything to attract him in elsie nevertheless  the house of war is an interesting at times an exciting story and it is well worth reading for its vivid picture of life as it was lived by europeans in the near east before the declaration of war,war_contra
the eagles shadow by james branch cabell heinemann 6s should anybody be in search of a delightful story charmingly and wittily and crisply written to send as a welcome gift at this time of the year we would say buy the eagles shadow  its illustrations are good its endpapers are a joy and the written words between those endpapers weave a healthy and tender story that it is a pleasure to read the author has gotten  the english colonel most excellently well except that an english officer should not say gotten the hero and the heroine however dominate the book and they are very much alive the little world round about the girl is very gracefully presented and the observation though not very deep is always true and often very sly  she cared no more for shakespeare than the average woman does and she was never quite comfortable when he was alluded to that is very neatly putas indeed are most things in this pleasant volume  the eagles shadow by james branch cabell heinemann in reading the eagles shadow one is reminded of goethes distich which indeed would serve as a fairly sufficient criticism of the book wiltat du echon zierlich erecheinen und biet uicbt sicher  vergebene nur aua vollendeter kraft thicket die anmuth hervor mr cabell strives to attain ease and grace in that vein of light comedy of which mr henry harland is for the moment the most popular master but the best that can be said for him is that he does not fail very egregiously he has occasionally happy turns of phrase his epigrams are now and then tolerable and his dialogue is on the whole amusing but his attempts at elegance are often rather awkward and his familiarity inept and the essence of a readers enjoyment in writing of this kind is that he should feel secure of the authors good taste and lightness of touch the narrative itself in spite of an infusion of exciting incident is of oourse subordinate to the manner of narration we know from the beginning that merit and wealth each being much in love with the other are bound to come together eventually and our curiosity as to how this is to be accomplished is never very keen the plot however is entertainingly enough developed and there is au air of good spirits about the whole thing that is not without attraction the atmosphere is distinctly american,war_contra
  your uncle lew a naturalbom american by c reginald sherlock hutchinson co mk sherlocks story reminds us somewhat of the old  sayings and doings  fiction of seventy or eighty years ago of the type of story of which some of theodore hooks novels and haliburtons books are the best remembered specimens lewis dunbar unclelew is a rather mysterious keeper of an eatinghouse in the town of salina and his racy talk is supposed to have been always welcome to his townsmen incidentally he has a beautiful daughter whom he educates away from the unfitting surroundings in which he makes the money that is to ensure her a good time dunbar falls in with a young fellow named hillyer and they devote themselves to discovering a showmans fraud while later dunbar makes a strange sensation in the racing world the book has a horsey flavour throughout but though entertaining in parts is not likely to appeal to a very large circle of british readers,war_contra
quakerism  or the sttirg of my life bv a lady who for forty years was a member of the society of friends dublin oldham ix spite of the authors affirmation that she is anxious only to do good to the society to  which she once belonged we doubt if any member of the connexion can possibly look on her efforts in their behalf in the light of service in her preface she intimates that if she shall be accused of attacking with false statements or false colours under shelter of the anonymous j she will publish her next edition with her name  but then she will publish also the names of all the individuals to whom her statements refer  the place and time of each circumstance and the original documents from which her story is condensed already however many of these are designated under appellations which can deceive no one taking the remotest interest in her subject surely those who read can translate elizabeth grill without any difficulty eec c the feeblenesses the follies the formalities here summed up will be questioned by no one acquainted with the inner disciplinal observances of quakerismbut they are not so exclusively the property of the sect as the authoress would have us believe singular their form may be with thesebut their essence is universal  inevitable we may add in all cases where subscription is pressed on the members of any sect as a saving grace the timid the foolish the disingenuous will always cling to misapprehend and evade ceremonials think of the abuses that crept into the monastic orders under cover of cowl and surplice consider the number of houses  divided against themselves in this enlightened england of ours at the time present by the question of the pair of candles on the protestant altar  then for illustrations ofthe  voluntary system we fear that certain sectarian periodicals if examined would disclose a depressing amount of nonsense preached and exaction submitted to yet the  lady who issues this book proceeds apparently on the assumption that the sect which she has quitted monopolises all the vulgarity greediness worldliness and inanity which disfigure the world of high professors there is scarcely a word of exception or qualificationscarcely an indication of the solid worth and sincere if narrow selfsacrifice which must also be credited to quakerism else must it long ere this have crumbled to nothing out of its own sheer rottenness the student of manners as influenced by opinions will find some quaint specimens of behaviour recorded from life in these pages to exhibit such at length to the general reader would be of small profit so peculiar are the alphabet and parlance of the society of friends so little really like those of the uncouth caricatures which have long figured as prim and angular drolls in fiction and in farce nor do the most elaborate pictures of quarterly meeting revels and yearly meeting inanities spread out by our authoress outdo in verisimilitude or quintessential humour the proceedings of dorcas fyshe and sister rumble more succinctlv recorded in hoods  quakers conversazione the grotesque examples of pulpit oratory again here gathered are not so grotesque as others which we could add yet this very form of appeal and  improvement presented itself to charles lamb in no exclusively ridiculous point of view and if he a stranger could feel toleration for a mode of address so whimsical and peculiar our selfemancipated quakeress might have pointed out the sound kernel as well as the rotten husk the following general remark however merits emphatic extract j  it is really a very difficult thing for a quaker  to be consistent with his own principles and even  the most rigid are often found swallowing them wholesale por instance the vain adorning of the person with dress jewellery and gold he considers it a sin to indulge in those things and yet in his shop he sells them he makes his money by providing for the sins of bis fellowchristians he deems it a right thing to wear a broad brim to bis hat but he has no scruple about making and selling hats of a fashionable form for his fellow christians to wear isle would not be so wicked as to dress his servant up in livery with a gold band c but in the way of business he will do it for another if the  peculiarities are essential to the salvation of a quakerarc they not also essential for all christians can it be that friends sell and deal in those forbidden thing because they think the people ofthe worldhave no chance of salvation at all and that therefore it signifies but little what they indulge in so that friends profit by it in the above passage is stated the cardinal difficulty of the society wherein lie the seeds of its decay such nonconformity as its statutes of discipline profess is not merely at variance with every rule of nature and common sense but if honestly carried out is totally incompatible with the simplest transactions of life the really consistent quaker who declines wearing primary colours because there is a snare in scarlet is the elder there was such a man  who was made uneasy in his mind by the sight of red clover he can be neither a haberdasher nor an upholsterer nor a toymaker nor a seller of fancy goodshardly an innkeeper or a chaise proprietor his rule is stricter than that of the strictest monastic asceticism without the monastery walls to shut him away from the vain world and the religious ceremonies to supply that want which knocks loud at the heart of every human creature who has been born with an iota of imagination the quakers rule is untenable whence subterfuge compromise evasion unsettlement of mindpushed to its extremitywe will quote an instance which is amusing in itself and amusingly related the lady had married and removed to bristol  soon after becoming a housekeeper i was called on by the tithe collector friends annually sum up the amount of all they have lost by this suffering as they call it and i was then under the idea that our noble testimony against an hireling ministry was an essential part of all true christianity and that our refusal to pay the unholy tax was an acceptable martyrdom in a small way i had heard much preaching on the subject and very much selflaudation on the faithfulness of the society gene rally indeed universally to this our testimony which so widely separated us from the hirelings of all other creeds the two men who called on me for the purpose of collecting the disputed impost were exceedingly gentle and polite they saw at a glance that i was an ignoramus and kindly volunteered to inform me how other quakers managed for i had told them that my profession would not allow me to pay tithes and that if they insisted on forcibly taking away my property though i would not resist still i would look on it as actual robberydid you ever pay tithes maam  said one of the men  never i replied well then said he you are a stranger here i see and ill just tell you how the bristol quakers manage for i am going about among them for twenty years past and i am always glad to accommodate them and meet their scruples the sum you must pay is one guinea so i will call here tomorrow at eleven oclock in the morning and you just leave on the sideboard there some articles of plateyour teapot will do very well or spoons or whatever you likethen i come and take it away you dont give it and so your conscience is clear you will then return to your meetingpeople that your teapot worth ten guineas was distrained for tithe and as soon after as you like you can go to mr jones the silversmith and tell him how you lost your teapot and are obliged to buy a new one he will condole with you and after showing you a variety of new ones to select from he will hand you your own identical article and say he can sell you that cheapsay one guinea you pay your guinea and get your own safe back again cleaner and brighter than ever and if you like you can purchase some other little trifling article for mr jones is a very accommodating man1i was teally shocked at the cool proposal of so nefarious and j unprincipled a transaction and indignantly rejected  it declaring at the same time my firm belief that no quaker would be guilty of so undignified and false an act the man smiled and said  aye that is the way they all go on at first but maam it is a gteat deal the easiest and best plan in the end and then he gave nie the names of very many my own acquaintances who regularly once a year as he jocularly said allowed mr jones to clean their plate  there is old mr r said he  has a fine massive silver teapot it is always laid out ready for me i always give notice before i go and now twenty times i have carried it off and got it brightened for him he values it at twenty pounds and his tithe is only one pound ten and there is young mr r isle likes mc to get his spoons done for him isle gives so many dinners he likes to have them bright and newlooking seeing me still very incredulous he said well maam i wont call on you for a week to give you time to think about the matter during that week i went to old mr rs and told his daughter that tithes had been demanded of me but that i had not paid them and was expecting another visit from the collectoroh yes said she  this is just the time they go about they seized a valuable silver teapot from us last week my father values it at twenty guineas and the demand in money is only about thirty shillings but it is a noble testimony we are calied on to bear and i trust our faithfulness will yet be the means of opening the eyes of professing christians to the nature of a pure free gospel ministry i trust my young friend thou wilt be faithfulshe spoke so seriously that i hesitated to say what i intended about joness shop lest the idea that i for a moment could think her or her father capable of such a deed might offend i then called on young mrs r and mentioned the same thing to herthey did indeed said she take our spoons but my william has some way or other to get them back i cant tell how he manages but i suppose they are ashamed of taking so much over their demand and so return them at any rate they are sent back beautifully polished and not only that but a handsome sugarspoon with our crest engraved on it was also amongst them i suppose they were sorry and put in the spoon by way of atonement i suspected that my friend william might know more than his wife on the subject but said nothing i then went to joness shop and boldly asked if they would return me articles of plate which might be distrained for tithe on paying the exact amount of tithe demanded and was politely infoimed that they would be most happy to do soto enter into the same arrangement with me ns with other quakers but said i what recompense will you require for affording me so great an accommodation  none whatever replied the shopkeeper  the friends are very good customers of ours we are always glad to see them entering our doors and what must i pay the collectorsthey make no charge either you can give them an odd shilling now and then if you like for they are very honest civil fellowsfaithful to their appointment at the end of the week the men came to me walked straight jpto the parlour and over to the sideboard and looked disappointed not to find the plate ready laid out for them i told them i had to apologise for doubting their veracity i had inquired and found that their statement was true but as i could not see any sense in such a roundabout way of paying i thought it simplar and came to the same thing in the end to pay the money at once which i did there is no denying the cleverness of these sketchesand we are tempted to take another examplebut merely forthe amusement of our readers the species of intrigue which it records is well known beyond the bounds of quakerism only it takes here pleasant colours from the quaint and peculiar modes of life in which it is acted  i was one evening nt a large tea party introduced to a very beautiful young bride she had a large figure well and most gracefully formed the roseate hue of her cheek and the soft brilliancy of her downcast eyes were only equalled in beauty by the exquisitely fair neck and the rich dark brown hair banded in the smoothest madonna style on her lofty brow her dress was of the richest dovecoloured satin and ber quaker cap and neckhandkerchief folded in neat plaits across her bosom were of indias most costly muslin the handkerchief was attached to the dress by a gold pin with a pearl head and the belt of her dress was fastened in front by two more gold pins each with a diamond head the bridegroom was a very small thin awkward illmade man his facefrom which every morsel of whisker had been shaved offwas white flat and meaningless and his dress though quite new was badly made and badly put on it was however a strictly quaker costume in the course of the evening i said to the lady who had introduced me however did that meanlooking little man manage to get such a very lovely bride she smiled and answered  strange as it may seem i assure thee it was rachel who courted him not he her i will tell thee the story about four years ago rachels younger sister was married and she was somewhat annoyed that she the elder and so much the handsomer should have been passed by so she resolved to provide herself with a husband and thou knowest when a woman makes up her mind to do a thing she triymphs over every obstacle rachels first step was to draw out a list of the names of the eligible young men opposite to each name she placed the amount of his annual income as correctly as she could ascertain it the most wealthy was placed at the top of the list and so on in regular gradation she had twelve names dosvn they lived in all parts of england  one in london one in york one in bristol and so on sylvnnus otway was at the head of the list she had never seen him and he lived near norwich he was down for seven thousand a year rachel seriously informed her father and mother that she had  a concern to attend the norwich quarterly meeting they had no acquaintances they cared for there and were disinclined to take so long a journey but rachel became so silent nnd sad and po often told them she was burdened with the weight of her concern to go that they at length yielded to her wishes and father nnd mother rachel and her sister susanna and one of the brothers all went to norwich as the father and mother are acknowledged ministers of course they were taken much notice of and invited to all the friends houses amongst others to friend otways and rachel soon had the pleasure of being introduced to sylvanus she was delighted to find him a fine handsome intelligentlooking young man and to perceive that he was decidedly i fascinated with his new acquaintances and when at parting he whispered to her sister loud enough fa rachel to hear i hope soon to be in your city into have the pleasure of calling at your house  cheek flushed with triumph and her heart palpitated with joy at the success of her scheme sylvans soon followed them as he had promised and propogd for susanna he was promptly accepted andtw were married as speedily as the rules of our society would permit rachel was exceedingly vexed and disappointed but she is not a person to be dacomfited by one failure so she resolved to try again hit she has never been friendly with susanna sincehe next on her list was josiah gumble of york and his income was six thousand again she informed her father that she felt it was required of her to attend the york quarterly meeting and she added  it had been born in on her mind that the ministry of her beloved father at that solemn assembly would be blessed to some waiting minds there is nothing pleases our ministers more than flattery of their preaching gifts rachel is an adept at it i hare often found it difficult to keep my features in sober decorum when i have heard her speaking of the inward peace she had felt from the acceptable servite of her much valued friends and then she preaes the hand of the minister she is flattering with io much feeling as she says but they like it and rachel has her own ends in view she went to york and soon obtained the desired introduction to josiah gumble he too was young and passably welllooking rachel contrived to be very much in his company  but she saw clearly that he could not be caught she told me she had never met any man who was so coldly insensible to beauty and so stupidly indifferent to flattery however rachel was not dheartened for it soon came out that josiah wai the victim of an unrighteous attachment to the daughter of a clergyman for love of whom he deserted our israel and is nowalas that it should be sowith his six thousand a year gone over to the camp ofthe alien the thud on rachels list was john jones of londonher bridegroom now he is worth about two thousand a year and as thou must see no beauty when rachel first saw him she was half inclined to leave him for somebody else but the next on her list is only six hundred a year the sacrifice was too great and besides james lewis might be as meanlooking so she resolved on the conquest of john jones it was very easily accomplished he made no resistance he at once became the worshipper of her beauty and now that they are married i think it will be her own fault if she is not happy he is not very wise but lie is goodhumoured and goodnatured  how did thou become acquainted with this amusing story  said i  is it not a breach of confidence to tell itno indeed she replied  there were more than a dozen of us in the room when she told it herself and showed us the list she said she did not want it now so she gave it to martha elton and bade her give a copy of it to any of the girls who would like to try the same plan of getting settled in life here is an anecdote of the regency which will be new to many of our readers  i was shown in the womens meetingroom the seat on which his majesty king george iv when prince regent had for a moment placed himself when led by the spirit of adventure and as my informant stated a most unbecoming curiosity he had disguised as a woman friend made his way into the secret conclave his dress was all right a grey silk gown a brown cloth shawl a little white silk handkerchief with hemmed edge round his neck and a very wellpoked friends bonnet with the neatly crimped border of his clear muslin cap tied under the chin completed the disguise in which he might have escaped detection very well were it not for the telltale boots and the unfeminine position in which the arms and legs bestowed themselves the young woman who sat behind him and saw the heel protruding from its silken robe slipt quietly out of meeting and gave the alarm two men friends were speedily summoned and the royal intruder felt himself gently tapped on the shoulder and requested to walk into another room he made no resistance but quietly went away and receiving the usual notice that the rules of the society would not allow any but members to be present he and calling a hackney coach drove off perflattering himself that his incognito had not w penetrated for although his countenance had tantly recognised still nothing was said to jmate that it had been so resolute that none but ihetoitiated should be present they were yet careful treat with courtesy their most unexpected visitant t0eten deferentially to respect his assumed chathese extracts which present a fair sample t the  ladys pages will show our laders that her book is smartand there can uno doubt that there is as we have said many  truth in her charges and exposures but froth itself she must be told becomes falsehood if it u presented in any other than its right rela there is no truth but the whole truth,war_contra
notes on novels thttt notes on the weeks fiction are not necessarily final reviews of a selection will follow the flame of life by gabriele dannunzio this is a translation by the talented authoress of via lucie of another of the  romances of the pomegranate  series by the ineffable dannunzio il fuoco has flamed of late for other than literary reasons through continental drawingrooms and in continental newspapers this is how one of the characters  paris eglano the erotic poet a fair beardless youth who had a handsome and voracious red mouth talks  in an hours time venice will offer some nerolike lover hidden in some gondolacabin the dionysian spectacle of a city that has been set on fire by its own delirium heinemann 6s,war_contra
miss gilberts career an american story by j g holland new york scribner london low  cothere is good sense and good feeling in this american story it is not without interest as an illustration of american life in a little country town and of the mode in which that town and its inhabitants get along in the world there are some pleasant and spirited touches of character in the book but the moral intention is too evident and prepense and spoils the story as a work of fiction the individuals who figure as characters aro au hard nnd stiff as though they were cut in wood or in paper though author dogmatizes about their emotions nd defines their capabilities in a painfully tyrannical manner with a good deal of talent to describe and represent things and people the impression left on the reader by this book isnot that he has been shown the real life and manners of real people but that ho has been witnessing a puppetshow where the author alono has pulled though strings and made though bjreeches and that ho has not boen at the pains to conceal the strings or to vary bis voico so as to produce a pleasant illusion upon his public 4 miss giltarts career is not nearly so good or so pleasant as the author ought to have ikhii able to make it wc havo read more interesting books written with half though talent,war_contra
laments for the living by dorothy parker longmans 6s recollections and other tales by ion creanga dent 7s 6d bagatelle and some other diversions by george preedy lan 7s 6d laumnts for the living is a curious book though not quite so curious as its publisher seems to imagine the assertion on the cover of the book that miss parker writes  as katherine mansfield might have written or as miss ruth draper might talk if true would mean that miss parker is an amazing contortionist for i can see no resemblance between katherine mansfield and ruth draper at all actually lants for the living is brisk reporting mostly in dialogue of moments in the lives of raffish bohemians in new york the book contains thirteen stories all extremely readable though one doesnt read them twice and in the case of one story  big blonde even impressive miss parker snapshots most of her characters when there is nothing doing when a man and a girl are sitting at opposite ends of the sofa bored and out of temper when they are cooling off in the morning after a succession of parties through the night usually it is a man and a girl they meet at a dance  hey where have you been all my life   said the young man who had a marvellous line  dont be an airedale said the girl who was always like this any objection if i sit down   he said  go right ahead she said sit down and take a load off your feet  ill do that little thing for you he said  sit down before i fall down what  some party isnt it  what a party this turned out to be i   and how i  she said  and how is right he said and so it goes on he said she said till they get round to the point where she says  dont be an airedale and they start again the accents of the speakers and a sort of fatuous kittenishness come through amazingly well the general effect is of a clever broadcast playthe sort of thing one expects from slapup american talkies but never gets one hears plenty of drivel talked wherever one goes but to be properly enjoyed it must be isolated and this miss parker does her range is exceedingly narrow she could not attempt anything on as large a scale as bouvard cl pecouchet for example quite apart from her lack of a positive style but as snapshots from the world of drunks boresbingers halfwits and outandouters i recommend her stories to collectors of human curiosities i must admit that after reading lamentsfor the living i found it almost impossible to get through either recokectios or bagakue a book like miss parkers ruins ones appetite for even the good secondrate recouections is the kind of book which invariably gets translated badly into english and which parodies itself on almost every page a mixture of antique oaths unpronounceable foreign names and whimsicalities which might be a satire on penguin life at the north pole are enough to put me off any book nor does bagateue quite escape selfparody it has too many wrong notes and sounds too much like scarlatti played at a village concert  saba watching him said that is a fearful noise without can you not tell them to cease that we may have a little peace it is a book of modem eighteenthcentury diversions not as slick as the bridge of san luis ray though it has graces the stories take place in italy bohemia and spain g w stonier,war_contra
